token,symbol,name,exch_seg,clean_symbol
18721,NUVAMA-EQ,NUVAMA,NSE,NUVAMA
18727,MASKINVEST-EQ,MASKINVEST,NSE,MASKINVEST
1901,CUMMINSIND-EQ,CUMMINSIND,NSE,CUMMINSIND
19061,MANAPPURAM-EQ,MANAPPURAM,NSE,MANAPPURAM
19126,KIOCL-EQ,KIOCL,NSE,KIOCL
1919,KOPRAN-EQ,KOPRAN,NSE,KOPRAN
1922,KOTAKBANK-EQ,KOTAKBANK,NSE,KOTAKBANK
19211,HMVL-EQ,HMVL,NSE,HMVL
19438,AHLEAST-EQ,AHLEAST,NSE,AHLEAST
19501,TICL-EQ,TICL,NSE,TICL
19867,AMNPLST-EQ,AMNPLST,NSE,AMNPLST
19783,MUFIN-EQ,MUFIN,NSE,MUFIN
19955,WAAREEINDO-EQ,WAAREEINDO,NSE,WAAREEINDO
20092,TASTYBITE-EQ,TASTYBITE,NSE,TASTYBITE
20261,IREDA-EQ,IREDA,NSE,IREDA
2031,M&M-EQ,M&M,NSE,M&M
20314,NRAIL-EQ,NRAIL,NSE,NRAIL
20413,IOLCP-EQ,IOLCP,NSE,IOLCP
2049,CHENNPETRO-EQ,CHENNPETRO,NSE,CHENNPETRO
20874,RBZJEWEL-EQ,RBZJEWEL,NSE,RBZJEWEL
21095,SHEKHAWATI-EQ,SHEKHAWATI,NSE,SHEKHAWATI
21154,ERIS-EQ,ERIS,NSE,ERIS
21195,GTPL-EQ,GTPL,NSE,GTPL
22415,LOVABLE-EQ,LOVABLE,NSE,LOVABLE
22440,BANKBETA-EQ,BANKBETA,NSE,BANKBETA
22524,GILT10BETA-EQ,GILT10BETA,NSE,GILT10BETA
22739,MON100-EQ,MON100,NSE,MON100
2283,MRPL-EQ,MRPL,NSE,MRPL
22824,JUNIPER-EQ,JUNIPER,NSE,JUNIPER
2307,MUNJALSHOW-EQ,MUNJALSHOW,NSE,MUNJALSHOW
23489,BHARTIHEXA-EQ,BHARTIHEXA,NSE,BHARTIHEXA
23553,AIIL-EQ,AIIL,NSE,AIIL
23804,BSLGOLDETF-EQ,BSLGOLDETF,NSE,BSLGOLDETF
23864,AWFIS-EQ,AWFIS,NSE,AWFIS
2397,SANDHAR-EQ,SANDHAR,NSE,SANDHAR
23915,LIQUIDBETF-EQ,LIQUIDBETF,NSE,LIQUIDBETF
24014,BOROSCI-EQ,BOROSCI,NSE,BOROSCI
24145,RETAIL-EQ,RETAIL,NSE,RETAIL
11403,POONAWALLA-EQ,POONAWALLA,NSE,POONAWALLA
11407,XPROINDIA-EQ,XPROINDIA,NSE,XPROINDIA
11491,APARINDS-EQ,APARINDS,NSE,APARINDS
11593,HDFCSENSEX-EQ,HDFCSENSEX,NSE,HDFCSENSEX
1164,NEWGEN-EQ,NEWGEN,NSE,NEWGEN
11699,PATELENG-EQ,PATELENG,NSE,PATELENG
11779,ACEINTEG-EQ,ACEINTEG,NSE,ACEINTEG
11821,WELCORP-EQ,WELCORP,NSE,WELCORP
11966,BIKAJI-EQ,BIKAJI,NSE,BIKAJI
11965,VIVIMEDLAB-EQ,VIVIMEDLAB,NSE,VIVIMEDLAB
11987,ICIL-EQ,ICIL,NSE,ICIL
12026,RENUKA-EQ,RENUKA,NSE,RENUKA
12092,KAYNES-EQ,KAYNES,NSE,KAYNES
1232,GRASIM-EQ,GRASIM,NSE,GRASIM
12490,VINNY-EQ,VINNY,NSE,VINNY
12842,G1NSETEST-EQ,G1NSETEST,NSE,G1NSETEST
12863,V1NSETEST-EQ,V1NSETEST,NSE,V1NSETEST
13,ABB-EQ,ABB,NSE,ABB
12978,NPBET-EQ,NPBET,NSE,NPBET
13001,DHARMAJ-EQ,DHARMAJ,NSE,DHARMAJ
13081,TRIVENI-EQ,TRIVENI,NSE,TRIVENI
13101,VIMTALABS-EQ,VIMTALABS,NSE,VIMTALABS
13143,GSEC10IETF-EQ,GSEC10IETF,NSE,GSEC10IETF
13290,BLKASHYAP-EQ,BLKASHYAP,NSE,BLKASHYAP
13300,NITCO-EQ,NITCO,NSE,NITCO
13337,GALLANTT-EQ,GALLANTT,NSE,GALLANTT
